Estado,Município,Instituição de Ensino Superior,Curso,Edição,Tipo Vaga,NOTA_CORTE_AMPLA,NOTA_CORTE_PCD,NOTA_CORTE_PPIQ
AC,CRUZEIRO DO SUL,AFYA CRUZEIRO DO SUL - AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE CRUZEIRO DO SUL,1487391 - MEDICINA,1-2025,Fies,765.84,661.48,738.16
AC,RIO BRANCO,CENTRO UNIVERSITÁRIO UNINORTE,1193275 - MEDICINA,1-2025,Fies,753.54,702.70,716.88
AL,MACEIÓ,CESMAC - CENTRO UNIVERSITÁRIO CESMAC,1186325 - MEDICINA,1-2025,Fies,786.10,765.30,759.94
AL,MACEIÓ,UNIMA - CENTRO UNIVERSITÁRIO DE MACEIÓ,1200578 - MEDICINA,1-2025,Fies,786.10,765.30,759.94
AM,ITACOATIARA,AFYA ITACOATIARA - AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE ITACOATIARA,1487767 - MEDICINA,1-2025,Fies,769.62,717.06,730.92
AM,MANACAPURU,AFYA MANACAPURU - AFYA FACULDADE DE CIÊNCIAS MÉDICAS DE MANACAPURU,1487766 - MEDICINA,1-2025,Fies,769.62,717.06,730.92
AM,MANAUS,FACULDADE SANTA TERESA,1595429 - MEDICINA,1-2025,Fies,765.56,743.26,722.50
AM,MANAUS,FAMETRO - CENTRO UNIVERSITÁRIO CEUNI - FAMETRO,1385538 - MEDICINA,1-2025,Fies,765.56,743.26,722.50
AM,MANAUS,UNINILTONLINS - UNIVERSIDADE NILTON LINS,49068 - MEDICINA,1-2025,Fies,768.90,743.26,731.28
BA,ALAGOINHAS,FACULDADE ESTÁCIO DE ALAGOINHAS,1399614 - MEDICINA,1-2025,Fies,776.58,687.80,728.82
BA,BARREIRAS,UNINASSAU - CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DE BARREIRAS,5001341 - MEDICINA,1-2025,Fies,772.86,695.10,719.62
BA,BRUMADO,UNIFG - CENTRO UNIVERSITÁRIO FG,1486978 - MEDICINA,1-2025,Fies,773.80,680.40,732.22
BA,CAMAÇARI,UNIFAMEC - CENTRO UNIVERSITÁRIO FAMEC,1637143 - MEDICINA,1-2025,Fies,778.98,707.78,719.66
BA,CONCEIÇÃO DO COITÉ,FARESI - FACULDADE DA REGIÃO SISALEIRA,1596114 - MEDICINA,1-2025,Fies,776.58,687.80,728.82
BA,EUNÁPOLIS,FACULDADE PITÁGORAS DE MEDICINA DE EUNÁPOLIS,1399619 - MEDICINA,1-2025,Fies,792.64,727.68,738.80
BA,EUNÁPOLIS,UNIESULBAHIA - FACULDADES INTEGRADAS DO EXTREMO SUL DA BAHIA,1257548 - MEDICINA,1-2025,Fies,776.04,731.10,725.94
