Código IES;Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Grau;Modalidade;CC;Ano CC;CPC;Ano CPC;ENADE;Ano ENADE;IDD;Ano IDD;Vagas Autorizadas;Data início funcionamento;Data Ato de Criação;Situação;Código Área Geral CINE;Área Geral CINE;Código Área Específica CINE;Área Específica CINE;Código Área Detalhada CINE;Área Detalhada CINE;Código Rótulo CINE;Rótulo CINE
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;12;MEDICINA;Bacharelado;Presencial;4;2024;3;2023;4;2025;2;2023;80;03/11/1978;03/11/1978;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;37;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2008;4;2023;4;2023;3;2023;60;21/05/1992;21/05/1992;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;100763;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2010;4;2023;4;2023;4;2023;100;07/08/2006;13/09/2007;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;116648;BIOMEDICINA;Bacharelado;Presencial;4;2012;4;2023;3;2023;2;2023;45;02/03/2009;30/06/2008;Em Atividade;9;Saúde e bem-estar;91;Saúde;914;Tecnologia de diagnóstico e tratamento médico;0914B01;Biomedicina
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública Federal;1261972;MEDICINA;Bacharelado;Presencial;4;2025;3;2023;4;2025;2;2023;60;14/04/2014;12/12/2013;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
2;UNIVERSIDADE DE BRASÍLIA;UNB;Pública Federal;140;MEDICINA;Bacharelado;Presencial;5;2024;4;2023;4;2025;4;2023;76;01/03/1962;01/03/1962;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
2;UNIVERSIDADE DE BRASÍLIA;UNB;Pública Federal;18031;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2008;4;2023;4;2023;3;2023;80;01/03/1997;04/11/1996;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Pública Federal;303;MEDICINA;Bacharelado;Presencial;4;2025;4;2023;5;2025;3;2023;100;20/03/1961;11/01/1961;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Pública Federal;1108067;MEDICINA VETERINÁRIA;Bacharelado;Presencial;4;2014;4;2023;5;2023;4;2023;50;15/03/2010;14/12/2009;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Pública Federal;1108153;MEDICINA;Bacharelado;Presencial;4;2025;4;2023;5;2025;3;2023;60;27/02/2012;-;Em Atividade;9;Saúde e bem-estar;91;Saúde;912;Medicina;0912M01;Medicina
3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Pública Federal;1321453;MEDICINA VETERINÁRIA;Bacharelado;Presencial;5;2022;4;2023;3;2023;3;2023;50;23/11/2015;13/05/2015;Em Atividade;8;Agricultura, silvicultura, pesca e veterinária;84;Veterinária;841;Veterinária;0841M01;Medicina veterinária
