NU_ANO;NU_QUESTAO_08
2025;.
2025;.
2025;.
2025;.
2025;.
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
2025;A
