NU_ANO;CO_CURSO;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO
2025;1258021;;;
2025;1192188;1374;2019;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2021;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2021;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2023;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2019;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2025;3
2025;78256;1900;2022;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2023;3
2025;78256;1900;2021;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2024;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2018;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2022;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2019;3
2025;78256;1900;2020;3
2025;78256;1900;2024;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2019;3
2025;78256;1900;2019;3
2025;78256;1900;2020;3
2025;78256;1900;2020;3
2025;78256;1900;2021;3
2025;78256;1900;2020;3
