NU_ANO;CO_CURSO;CO_CADERNO;NU_ITEM;NU_ITEM_Z;NU_ITEM_X;DS_VT_GAB_OBJ;DS_VT_ACE_OBJ;DS_VT_ESC_OBJ;TP_PR_GER;PROFICIENCIA;NT_GER;QT_ACERTO_AREA_1;QT_ACERTO_AREA_2;QT_ACERTO_AREA_3;QT_ACERTO_AREA_4;QT_ACERTO_AREA_5;PER_ACERTO_ENARE;CO_RS_I1;CO_RS_I2;CO_RS_I3;CO_RS_I4;CO_RS_I5;CO_RS_I6;CO_RS_I7;CO_RS_I8;CO_RS_I9
2025;1408507;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;9999999999998999999999999999999999999999999999999998999999999999999999999999999999999999989999999999;....................................................................................................;222;;;0;0;0;0;0;0;.;.;.;.;.;.;.;.;.
2025;1179189;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;9999999999998999999999999999999999999999999999999998999999999999999999999999999999999999989999999999;....................................................................................................;222;;;0;0;0;0;0;0;.;.;.;.;.;.;.;.;.
2025;5000979;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;9899999999999999999999999999999999999998999999999999999999999999999999999999999999999998999999999999;....................................................................................................;222;;;0;0;0;0;0;0;.;.;.;.;.;.;.;.;.
2025;1107;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;9999999999998999999999999999999999999999999999999998999999999999999999999999999999999999989999999999;....................................................................................................;222;;;0;0;0;0;0;0;.;.;.;.;.;.;.;.;.
2025;1272168;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;9899999999999999999999999999999999999998999999999999999999999999999999999999999999999998999999999999;....................................................................................................;222;;;0;0;0;0;0;0;.;.;.;.;.;.;.;.;.
2025;121850;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;9999999999998999999999999999999999999999999999999998999999999999999999999999999999999999989999999999;....................................................................................................;222;;;0;0;0;0;0;0;.;.;.;.;.;.;.;.;.
2025;84352;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;9999999999998999999999999999999999999999999999999998999999999999999999999999999999999999989999999999;....................................................................................................;222;;;0;0;0;0;0;0;.;.;.;.;.;.;.;.;.
2025;5000979;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;9999999999998999999999999999999999999999999999999998999999999999999999999999999999999999989999999999;....................................................................................................;222;;;0;0;0;0;0;0;.;.;.;.;.;.;.;.;.
2025;1421100;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;9999999999998999999999999999999999999999999999999998999999999999999999999999999999999999989999999999;....................................................................................................;222;;;0;0;0;0;0;0;.;.;.;.;.;.;.;.;.
2025;12569;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;9999999999998999999999999999999999999999999999999998999999999999999999999999999999999999989999999999;....................................................................................................;222;;;0;0;0;0;0;0;.;.;.;.;.;.;.;.;.
2025;5001033;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;9999999999998999999999999999999999999999999999999998999999999999999999999999999999999999989999999999;....................................................................................................;222;;;0;0;0;0;0;0;.;.;.;.;.;.;.;.;.
2025;1330031;2;90;7;3;6ACCDBACABCAABDBCBDDABDB6AACABBCBCAADBBACBADDACCACABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBC;9999999999998999999999999999999999999999999999999998999999999999999999999999999999999999989999999999;....................................................................................................;222;;;0;0;0;0;0;0;.;.;.;.;.;.;.;.;.
2025;12569;1;90;7;3;ABADCB6B666DCBABDDDCAABDACDBACBDCBDCDDDBCD6BBCCDBCCACCADDABCABBDAACBCBBACAA6BDBADDBCBDBAACBACABDCCA6;9899999999999999999999999999999999999998999999999999999999999999999999999999999999999998999999999999;....................................................................................................;222;;;0;0;0;0;0;0;.;.;.;.;.;.;.;.;.
