NU_ANO;CO_CURSO;NU_IDADE
2025;9805;21
2025;1191415;21
2025;59414;21
2025;1108786;21
2025;5001294;21
2025;5001294;21
2025;72767;21
2025;19294;21
2025;5001183;21
2025;59174;21
2025;72667;21
2025;72669;21
2025;5000812;21
2025;72681;21
2025;1408507;21
2025;108014;21
2025;72681;21
2025;79007;21
2025;1050663;21
2025;5001294;21
2025;5000979;21
2025;1180318;21
2025;1183313;21
2025;1408507;21
2025;1257777;21
2025;72681;21
2025;19294;21
2025;1184432;21
2025;19294;21
2025;78256;21
2025;57852;21
2025;1257562;21
2025;1483773;22
2025;59414;22
2025;1390309;22
2025;1408507;22
2025;1188900;22
2025;18447;22
2025;5001314;22
2025;5000001;22
2025;72681;22
2025;78256;22
2025;98406;22
2025;37304;22
2025;1200578;22
2025;7414;22
2025;99476;22
2025;72669;22
2025;98406;22
2025;5000001;22
2025;1408507;22
2025;72669;22
2025;99476;22
2025;4503;22
2025;5000979;22
2025;5000979;22
2025;1029204;22
2025;5000001;22
2025;1171609;22
2025;10289;22
2025;108882;22
2025;3677;22
2025;1184432;22
2025;16904;22
2025;14725;22
2025;74655;22
2025;1178524;22
2025;72667;22
2025;79007;22
2025;11114;22
2025;8698;22
2025;1184047;22
2025;13866;22
2025;72669;22
2025;1191415;22
2025;7105;22
2025;1179189;22
2025;72681;22
2025;1399485;22
2025;1427420;22
2025;11114;22
2025;5000841;22
2025;11233;22
2025;1399483;22
2025;1427420;22
2025;1445016;22
2025;19294;22
2025;1399481;22
2025;9805;22
2025;1421013;22
2025;2392;22
2025;108884;22
2025;9772;22
2025;1399477;22
2025;1342536;22
2025;98409;22
2025;1200578;22
2025;100956;22
2025;8698;22
2025;1399616;22
2025;1399287;22
2025;12015;22
2025;1193275;22
2025;98406;22
2025;1330031;22
2025;18472;22
2025;15475;22
2025;1455021;22
2025;20249;22
2025;5000930;22
2025;1190667;22
2025;4503;22
2025;1200578;22
2025;84352;22
2025;1483759;22
2025;72681;22
2025;13996;22
2025;37304;22
2025;1136509;22
2025;20360;22
2025;1191415;22
2025;1448710;22
2025;99476;22
2025;5920;22
2025;85652;22
2025;72681;22
2025;99476;22
2025;12015;22
2025;100958;22
2025;1342536;22
2025;59174;22
2025;1050663;22
2025;72767;22
2025;1178672;22
2025;87537;22
2025;1173014;22
2025;5001341;22
2025;86288;22
2025;19294;22
2025;1399481;22
2025;1322329;22
2025;100956;22
2025;1390311;22
2025;18472;22
2025;74655;22
2025;108882;22
2025;72681;22
2025;1190667;22
2025;10289;22
2025;84352;22
2025;1171609;22
2025;1200578;22
2025;1050663;22
2025;5909;22
2025;1408507;22
2025;10224;22
2025;72681;22
2025;59414;22
2025;51699;22
2025;1184047;22
2025;57402;22
2025;20360;22
2025;84352;22
2025;18447;22
2025;72767;22
2025;868;22
2025;1385521;22
2025;79007;22
2025;99476;22
2025;49060;22
2025;1200578;22
2025;59414;22
2025;5000001;22
2025;72681;22
2025;13996;22
2025;20360;22
2025;1179189;22
2025;59414;22
2025;84352;22
2025;6496;22
2025;7705;22
2025;7676;22
2025;2918;22
2025;1445016;22
2025;5000981;22
2025;64918;22
2025;10289;22
2025;1314146;22
2025;1200578;22
2025;103596;22
2025;3418;22
2025;72767;22
2025;19434;22
2025;1317634;22
2025;72681;22
2025;1184325;22
2025;1192188;22
2025;12569;22
2025;1184325;22
2025;19294;22
2025;39415;22
2025;12813;22
2025;72669;22
2025;1363536;22
2025;49910;22
2025;5001033;22
2025;5000981;22
2025;1399480;22
2025;1190667;22
2025;98406;22
2025;60660;22
2025;1390311;22
2025;18594;22
2025;1189778;22
2025;39415;22
2025;1483768;22
2025;59174;22
2025;1390317;22
2025;1322329;22
2025;15343;22
2025;5000930;22
2025;1390311;22
2025;59414;22
2025;39415;22
2025;19206;22
2025;72681;22
2025;108882;22
