NU_ITEM_PROVA_1;NU_ITEM_PROVA_2;ITEM_MANTIDO;PARAMETRO_B;COR_BISSERIAL;INFIT;OUTFIT
1;51;1;-0.16663;0.29708;1.00117;0.97973
2;52;0;;-0.00271;;
3;53;1;-3.23653;0.34724;0.10017;0.88733
4;54;1;-0.12947;0.44820;0.92555;0.91336
5;100;1;-1.64261;0.39320;0.96823;0.91076
6;56;1;-0.78789;0.16490;1.05697;1.07366
8;58;1;-0.13495;0.01769;1.10373;1.19878
12;62;1;-1.02738;0.40890;0.95628;0.90579
13;63;1;-2.24134;0.31745;0.99933;0.09456
14;64;1;-3.00859;0.36640;0.99577;0.88368
15;65;1;-1.70765;0.08983;1.06359;1.17815
16;66;1;0.64139;0.42508;0.93323;0.09334
17;67;1;-0.02338;0.18123;1.05388;1.05938
18;68;1;0.62682;0.64886;0.83074;0.80689
19;69;1;0.81822;0.10820;1.08226;0.11223
20;70;1;-1.08921;0.42345;0.94894;0.90807
21;71;1;-0.04374;0.11417;1.08555;1.09704
22;72;1;-0.71556;0.41504;0.94762;0.92262
23;73;1;-3.53761;0.41679;0.99617;0.80534
24;74;1;-2.61062;0.47166;0.96752;0.00791
25;75;1;0.34177;0.27121;1.00878;1.01384
26;76;1;-0.46483;0.43271;0.93702;0.09189
27;77;1;-1.32924;0.45860;0.93814;0.88218
28;78;1;0.12847;0.08035;1.08155;1.16861
29;79;1;-0.00887;0.30708;0.99296;0.99226
30;80;1;-1.34509;0.23672;1.02289;1.02998
31;81;1;-0.41917;0.35350;0.97318;0.09555
32;82;1;-3.31628;0.60194;0.09656;0.63295
33;55;1;-0.07522;0.07264;1.10797;1.12384
34;84;1;-0.94633;0.13369;1.06662;1.10299
35;85;1;-0.07482;0.53868;0.89312;0.85856
36;86;1;-2.33473;0.45659;0.96412;0.82351
37;87;1;-1.36494;0.40164;0.96089;0.91517
38;88;1;0.43672;0.20340;1.04004;1.05472
39;89;1;-0.83601;0.22079;1.03144;0.10456
40;90;0;;-0.14679;;
41;91;1;-2.54143;0.55269;0.94986;0.71204
42;92;1;-1.16412;0.32099;0.98538;1.00375
44;94;1;-0.05497;0.11323;1.08238;1.11009
45;95;1;-1.26544;0.21950;1.03142;1.03284
46;96;1;-2.04348;0.53806;0.93573;0.76313
47;97;1;-1.20016;0.35118;0.98217;0.93291
48;98;1;1.77005;0.25894;0.09992;1.06245
49;99;1;-0.70808;0.40442;0.95204;0.09305
50;83;1;-0.39599;0.27225;1.01043;1.00918
51;50;1;-0.00174;0.46806;0.91547;0.90369
52;49;1;0.48929;0.22968;0.01027;1.04253
53;48;1;-1.70798;0.43237;0.96081;0.85547
54;47;1;-1.44573;0.45427;0.94689;0.85651
55;46;1;-0.95853;0.22806;1.02514;1.05539
56;45;1;0.09498;0.16259;1.06387;1.07144
57;44;1;1.18514;0.22297;1.03013;1.04975
58;43;1;0.70962;0.57683;0.86386;0.84402
59;42;1;2.41514;0.04634;1.05908;1.28587
60;41;1;-1.15173;0.38757;0.96755;0.91082
61;40;1;-1.62641;0.51001;0.92915;0.82173
62;39;1;-2.08296;0.44278;0.96412;0.83503
63;38;1;0.78003;0.26314;1.01508;1.02131
64;37;1;-0.00667;0.35811;0.97183;0.09608
65;36;1;0.41192;0.26203;1.01366;1.01913
66;35;1;-0.11227;0.43445;0.93376;0.09239
67;34;1;-2.02864;0.41779;0.96927;0.08623
68;33;1;-1.52701;0.25886;1.01472;1.00868
69;32;1;0.54672;0.38342;0.95897;0.94985
70;31;1;-0.05953;0.20916;1.03899;1.04479
71;30;1;-0.11251;0.33098;0.98271;0.97819
72;29;1;1.70128;0.23196;1.01864;1.05683
73;28;1;-2.09686;0.62793;0.90813;0.70949
74;27;1;-1.32379;0.54633;0.90695;0.81533
75;26;1;0.16241;0.34776;0.97494;0.97168
77;24;1;-3.20535;0.56334;0.96926;0.66197
78;23;1;-1.84265;0.38102;0.97484;0.91603
79;22;1;-0.84299;0.29447;0.99903;1.00454
80;21;1;0.88635;0.24888;1.01264;0.10401
81;20;1;-2.41165;0.27117;1.00884;0.99334
82;19;1;-1.23842;0.43157;0.94952;0.88838
83;18;1;-1.18636;0.32675;0.09877;0.96976
84;17;1;-2.98163;0.40135;0.98852;0.84776
85;16;1;-1.55488;0.46107;0.94519;0.85385
86;15;1;-0.73242;0.51994;0.90147;0.86593
87;14;1;-0.26636;0.35532;0.97132;0.96469
88;13;0;;-0.15051;;
89;12;1;-1.79802;0.51538;0.93434;0.79793
90;11;1;-1.41314;0.35984;0.09791;0.93276
91;10;1;-2.28325;0.27279;1.00925;0.99321
92;9;1;0.00933;0.11121;1.08712;1.09797
93;8;1;-0.27361;0.32102;1.00287;0.91511
94;7;1;0.30307;0.47374;0.91023;0.90726
95;6;1;-0.03548;0.39544;0.95297;0.93845
96;5;1;0.60964;0.47848;0.91674;0.89408
97;4;1;1.12101;0.15661;1.05511;1.10145
98;3;1;0.00862;0.42905;0.93735;0.92222
99;2;1;-0.37289;0.33730;0.98022;0.97241
