Ano;Semestre;Nome Mantenedora;Código e-MEC da Mantenedora;CNPJ da mantenedora;Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES;Município da IES;Nome do Local de oferta;Código do Local de Oferta;Município do Local de Oferta;UF do Local de Oferta;Nome da Microrregião;Código da Microrregião;Código da Mesorregião;Nome da Mesorregião;Área do conhecimento;Subárea do conhecimento;Código do Grupo de Preferência; Nota de Corte Grupo Preferência ;Código do Curso;Nome do Curso;Turno;Grau;Conceito;Vagas autorizadas e-mec;Vagas ofertadas FIES;Vagas além da Oferta;Vagas ocupadas;Participa do P-FIES;Vagas Ofertadas P-FIES;BANCO NORDESTE BRASIL   (004);ITAU UNIBANCO (PRAVALER)(341);BV FINANCEIRA (PRAVALER)(455);BANCO ANDBANK (PRAVALER)(65);BANCO DA AMAZONIA S.A.  (003); Valor bruto do curso ; 1 Semestre Bruto ; 2 Semestre Bruto ; 3 Semestre Bruto ; 4 Semestre Bruto ; 5 Semestre Bruto ; 6 Semestre Bruto ; 7 Semestre Bruto ; 8 Semestre Bruto ; 9 Semestre Bruto ; 10 Semestre Bruto ; 11 Semestre Bruto ; 12 Semestre Bruto ; Valor do curso para FIES ; 1 Semestre FIES ; 2 Semestre FIES ; 3 Semestre FIES ; 4 Semestre FIES ; 5 Semestre FIES ; 6 Semestre FIES ; 7 Semestre FIES ; 8 Semestre FIES ; 9 Semestre FIES ; 10 Semestre FIES ; 11 Semestre FIES ; 12 Semestre FIES 
2019;1;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;16452;04310392000146;Faculdade Anhanguera de Assis;21924;Faculdade ;SP;Assis;CAMPUS PRINCIPAL;1078477;Assis;SP;Assis;35039;3510;Assis;CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO, DE MATERIAIS E CURSOS RELACIONADOS;45815; 480,38 ;1367754;ENGENHARIA DE PRODUÇÃO;NOTURNO;Bacharelado;4;50;20;30;0;NAO;0;N;N;N;N;N; 84.692,00 ; 7.985,00 ; 8.523,00 ; 8.523,00 ; 8.523,00 ; 8.523,00 ; 8.523,00 ; 8.523,00 ; 8.523,00 ; 8.523,00 ; 8.523,00 ; -   ; -   ; 72.467,00 ; 5.988,00 ; 6.392,00 ; 6.392,00 ; 6.392,00 ; 6.392,00 ; 6.819,00 ; 8.523,00 ; 8.523,00 ; 8.523,00 ; 8.523,00 ; -   ; -   
2019;1;CV & C CONSULTORES ASSOCIADOS LTDA - EPP;12526;41303231000151;FACULDADE DE TECNOLOGIA ATENEU;13657;Faculdade ;CE;São Gonçalo do Amarante;UNIDADE SEDE;1042440;São Gonçalo do Amarante;CE;Baixo Curu;23009;2302;Norte Cearense;DIVERSAS ÁREAS;DIREITO, COMÉRCIO EXTERIOR, BIBLIOTECONOMIA E CURSOS RELACIONADOS;43323; 558,26 ;1386597;DIREITO;NOTURNO;Bacharelado;4;60;24;36;9;NAO;0;N;N;N;N;N; 72.600,00 ; 7.260,00 ; 7.260,00 ; 7.260,00 ; 7.260,00 ; 7.260,00 ; 7.260,00 ; 7.260,00 ; 7.260,00 ; 7.260,00 ; 7.260,00 ; -   ; -   ; 68.970,00 ; 6.897,00 ; 6.897,00 ; 6.897,00 ; 6.897,00 ; 6.897,00 ; 6.897,00 ; 6.897,00 ; 6.897,00 ; 6.897,00 ; 6.897,00 ; -   ; -   
2019;1;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;16452;04310392000146;FACULDADE ANHANGÜERA DE BAURU;5451;Faculdade ;SP;Bauru;UNIDADE SEDE;660075;Bauru;SP;Bauru;35020;3504;Bauru;CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO, DE MATERIAIS E CURSOS RELACIONADOS;45493; 540,62 ;1163753;ENGENHARIA DE PRODUÇÃO;MATUTINO;Bacharelado;3;90;27;63;0;NAO;0;N;N;N;N;N; 85.066,00 ; 8.310,00 ; 7.457,00 ; 17.100,00 ; 7.457,00 ; 7.457,00 ; 7.457,00 ; 7.457,00 ; 7.457,00 ; 7.457,00 ; 7.457,00 ; -   ; -   ; 71.627,00 ; 6.233,00 ; 5.592,00 ; 12.825,00 ; 5.592,00 ; 5.592,00 ; 5.965,00 ; 7.457,00 ; 7.457,00 ; 7.457,00 ; 7.457,00 ; -   ; -   
2019;1;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;14514;38733648000140;FACULDADE PITÁGORAS DO MARANHÃO;1452;Faculdade ;MA;São Luís;CAMPUS  - SÃO LUÍS - TURU;658496;São Luís;MA;Aglomeração Urbana de São Luís;21002;2101;Norte Maranhense;DIVERSAS ÁREAS;ADMINISTRAÇÃO, ADMINISTRAÇÃO PÚBLICA, GESTÃO, LOGÍSTICA, NEGÓCIOS E CURSOS RELACIONADOS;43074; 539,50 ;21222;ADMINISTRAÇÃO;MATUTINO;Bacharelado;3;48;14;34;0;NAO;0;N;N;N;N;N; 42.402,00 ; 3.984,00 ; 4.952,00 ; 4.812,00 ; 5.345,00 ; 6.408,00 ; 3.972,00 ; 6.948,00 ; 5.981,00 ; -   ; -   ; -   ; -   ; 35.232,00 ; 2.988,00 ; 3.714,00 ; 3.609,00 ; 4.009,00 ; 4.806,00 ; 3.177,00 ; 6.948,00 ; 5.981,00 ; -   ; -   ; -   ; -   
2019;1;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;14514;38733648000140;FACULDADE PITÁGORAS DO MARANHÃO;1452;Faculdade ;MA;São Luís;CAMPUS II;1076417;São Luís;MA;Aglomeração Urbana de São Luís;21002;2101;Norte Maranhense;CURSOS DA AREA DE SAUDE;ENFERMAGEM, FISIOTERAPIA, FARMÁCIA, NUTRIÇÃO E CURSOS RELACIONADOS;43026; 560,50 ;1104244;ENFERMAGEM;NOTURNO;Bacharelado;4;90;36;54;0;NAO;0;N;N;N;N;N; 91.511,00 ; 6.795,00 ; 7.265,00 ; 7.662,00 ; 8.945,00 ; 10.404,00 ; 8.611,00 ; 10.938,00 ; 9.344,00 ; 11.880,00 ; 9.667,00 ; -   ; -   ; 79.522,00 ; 5.096,00 ; 5.449,00 ; 5.747,00 ; 6.709,00 ; 7.803,00 ; 6.889,00 ; 10.938,00 ; 9.344,00 ; 11.880,00 ; 9.667,00 ; -   ; -   
2019;1;COMPLEXO DE ENSINO SUPERIOR DE SAO PAULO LTDA - CESUSP;2294;05844842000143;FACULDADE MARIO SCHENBERG;3618;Faculdade ;SP;Cotia;CAMPUS GRANJA VIANA;659568;Cotia;SP;Itapecerica da Serra;35060;3515;Metropolitana de São Paulo;CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO, DE MATERIAIS E CURSOS RELACIONADOS;46063; 496,20 ;1259899;ENGENHARIA DE PRODUÇÃO;NOTURNO;Bacharelado;3;50;5;0;0;SIM;5;N;N;N;N;N; 93.727,20 ; 9.372,72 ; 9.372,72 ; 9.372,72 ; 9.372,72 ; 9.372,72 ; 9.372,72 ; 9.372,72 ; 9.372,72 ; 9.372,72 ; 9.372,72 ; -   ; -   ; 57.288,00 ; 5.728,80 ; 5.728,80 ; 5.728,80 ; 5.728,80 ; 5.728,80 ; 5.728,80 ; 5.728,80 ; 5.728,80 ; 5.728,80 ; 5.728,80 ; -   ; -   
2019;1;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;16452;04310392000146;FACULDADE ANHANGÜERA DE PIRACICABA;4656;Faculdade ;SP;Piracicaba;CAMPUS - PIRACICABA - PIRACICAMIRIM;659895;Piracicaba;SP;Piracicaba;35028;3506;Piracicaba;CURSOS DA ÁREA DE LICENCIATURA, PEDAGOGIA E NORMAL SUPERIOR;HISTÓRIA (LIC), GEOGRAFIA (LIC), EDUCAÇÃO FÍSICA (LIC) E CURSOS RELACIONADOS;45615; 571,42 ;1330697;EDUCAÇÃO FÍSICA;MATUTINO;Bacharelado;4;60;24;36;0;NAO;0;N;N;N;N;N; 37.278,00 ; 4.224,00 ; 4.865,00 ; 3.864,00 ; 4.865,00 ; 4.865,00 ; 4.865,00 ; 4.865,00 ; 4.865,00 ; -   ; -   ; -   ; -   ; 30.632,00 ; 3.168,00 ; 3.648,00 ; 2.898,00 ; 3.648,00 ; 3.648,00 ; 3.892,00 ; 4.865,00 ; 4.865,00 ; -   ; -   ; -   ; -   
2019;1;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;16452;04310392000146;FACULDADE ANHANGUERA DE PORTO ALEGRE;13620;Faculdade ;RS;Porto Alegre;UNIDADE SEDE;1042327;Porto Alegre;RS;Porto Alegre;43026;4305;Metropolitana de Porto Alegre;CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL, ARQUITETURA E CURSOS RELACIONADOS;46911; 601,20 ;1205140;ENGENHARIA CIVIL;MATUTINO;Bacharelado;3;90;27;63;0;NAO;0;N;N;N;N;N; 69.027,00 ; 9.600,00 ; 6.464,00 ; 7.044,00 ; 6.312,00 ; 6.312,00 ; 8.047,00 ; 6.312,00 ; 6.312,00 ; 6.312,00 ; 6.312,00 ; -   ; -   ; 58.485,00 ; 7.200,00 ; 4.848,00 ; 5.283,00 ; 4.734,00 ; 4.734,00 ; 6.438,00 ; 6.312,00 ; 6.312,00 ; 6.312,00 ; 6.312,00 ; -   ; -   
2019;1;ANHANGUERA EDUCACIONAL PARTICIPACOES S/A;16452;04310392000146;CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO;376;Centro Universitário;SP;São Paulo;VILA MARIANA;1056226;São Paulo;SP;São Paulo;35061;3515;Metropolitana de São Paulo;CURSOS DA AREA DE SAUDE;ENFERMAGEM, FISIOTERAPIA, FARMÁCIA, NUTRIÇÃO E CURSOS RELACIONADOS;46050; 551,56 ;1364399;NUTRIÇÃO;NOTURNO;Bacharelado;Autorizado;70;17;53;0;NAO;0;N;N;N;N;N; 56.658,00 ; 5.201,00 ; 5.424,00 ; 5.892,00 ; 6.259,00 ; 8.658,00 ; 7.584,00 ; 8.664,00 ; 8.976,00 ; -   ; -   ; -   ; -   ; 47.284,00 ; 3.900,00 ; 4.068,00 ; 4.419,00 ; 4.695,00 ; 6.494,00 ; 6.068,00 ; 8.664,00 ; 8.976,00 ; -   ; -   ; -   ; -   
2019;1;ASSOCIACAO EDUCACIONAL DOM BOSCO;327;31463235000143;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DOM BOSCO;474;Faculdade ;RJ;Resende;UNIDADE SEDE;1041001;Resende;RJ;Vale do Paraíba Fluminense;33011;3305;Sul Fluminense;CURSOS DA ÁREA DE LICENCIATURA, PEDAGOGIA E NORMAL SUPERIOR;LETRAS - IDIOMAS, FÍSICA (LIC), QUÍMICA (LIC) E CURSOS RELACIONADOS;45187; 475,72 ;9766;LETRAS;NOTURNO;Licenciatura;Autorizado;180;5;0;0;NAO;0;N;N;N;N;N; 43.968,00 ; 5.190,00 ; 5.190,00 ; 5.598,00 ; 5.598,00 ; 5.598,00 ; 5.598,00 ; 5.598,00 ; 5.598,00 ; -   ; -   ; -   ; -   ; 41.769,60 ; 4.930,50 ; 4.930,50 ; 5.318,10 ; 5.318,10 ; 5.318,10 ; 5.318,10 ; 5.318,10 ; 5.318,10 ; -   ; -   ; -   ; -   
