Ano;Semestre;Nome Mantenedora;Código e-MEC da Mantenedora;CNPJ da mantenedora;Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES;Município da IES;Nome do Local de oferta;Código do Local de Oferta;Município do Local de Oferta;UF do Local de Oferta;Nome da Microrregião;Código da Microrregião;Código da Mesorregião;Nome da Mesorregião;Área do conhecimento;Subárea do conhecimento;Código do Grupo de Preferência; Nota de Corte Grupo Preferência ;Código do Curso;Nome do Curso;Turno;Grau;Conceito;Vagas autorizadas e-mec;Vagas ofertadas FIES;Vagas além da Oferta;Vagas ocupadas;Participa do P-FIES;Vagas Ofertadas P-FIES;BANCO NORDESTE BRASIL   (004);ITAU UNIBANCO (PRAVALER)(341);BV FINANCEIRA (PRAVALER)(455);BANCO ANDBANK (PRAVALER)(65);BANCO DA AMAZONIA S.A.  (003); Valor bruto do curso ; 1 Semestre Bruto ; 2 Semestre Bruto ; 3 Semestre Bruto ; 4 Semestre Bruto ; 5 Semestre Bruto ; 6 Semestre Bruto ; 7 Semestre Bruto ; 8 Semestre Bruto ; 9 Semestre Bruto ; 10 Semestre Bruto ; 11 Semestre Bruto ; 12 Semestre Bruto ; Valor do curso para FIES ; Índice de correção - IPCA ; 1 Semestre FIES ; 2 Semestre FIES ; 3 Semestre FIES ; 4 Semestre FIES ; 5 Semestre FIES ; 6 Semestre FIES ; 7 Semestre FIES ; 8 Semestre FIES ; 9 Semestre FIES ; 10 Semestre FIES ; 11 Semestre FIES ; 12 Semestre FIES ;;;
2020;1;INSTITUTO SANTANENSE DE ENSINO SUPERIOR;316;62881099000135;CENTRO UNIVERSITÁRIO SANT ANNA;456;Centro Universitário;SP;São Paulo;CAMPUS  - SÃO PAULO - SANTANA;657908;São Paulo;SP;São Paulo;35061;3515;Metropolitana de São Paulo;CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;59606; 450,00 ;106958;RADIOLOGIA;NOTURNO;Tecnológico;4;140;56;0;0;NAO;0;N;N;N;N;N; 31.890,00 ; 5.100,00 ; 5.100,00 ; 5.100,00 ; 5.100,00 ; 5.100,00 ; 6.390,00 ; -   ; -   ; -   ; -   ; -   ; -   ; 31.890,00 ;200%; 5.100,00 ; 5.100,00 ; 5.100,00 ; 5.100,00 ; 5.100,00 ; 6.390,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;
2020;1;SOCIEDADE EDUCACIONAL BRAZ CUBAS LTDA.;365;52556412000106;CENTRO UNIVERSITÁRIO BRAZ CUBAS;526;Centro Universitário;SP;Mogi das Cruzes;Campus I Sede;25802;Mogi das Cruzes;SP;Mogi das Cruzes;35062;3515;Metropolitana de São Paulo;CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;59606; 450,00 ;70672;ÓPTICA E OPTOMETRIA;NOTURNO;Tecnológico;4;120;12;0;4;NAO;0;N;N;N;N;N; 42.552,00 ; 5.940,00 ; 6.528,00 ; 6.528,00 ; 6.528,00 ; 6.528,00 ; 5.250,00 ; 5.250,00 ; -   ; -   ; -   ; -   ; -   ; 39.405,60 ;500%; 4.752,00 ; 4.569,60 ; 6.528,00 ; 6.528,00 ; 6.528,00 ; 5.250,00 ; 5.250,00 ; -   ; -   ; -   ; -   ; -   ;;;
2020;1;ASSUPERO ENSINO SUPERIOR LTDA.;2415;06099229000101;UNIVERSIDADE PAULISTA;322;Universidade;SP;São Paulo;Santos I;370;Santos;SP;Santos;35063;3515;Metropolitana de São Paulo;CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;59606; 450,00 ;5000459;RADIOLOGIA;NOTURNO;Tecnológico;4;115;46;23;1;SIM;46;N;S;N;S;N; 27.131,79 ; 4.083,43 ; 3.979,92 ; 4.485,62 ; 4.683,64 ; 4.820,53 ; 5.078,65 ; -   ; -   ; -   ; -   ; -   ; -   ; 22.236,42 ;250%; 2.858,40 ; 2.878,68 ; 3.520,88 ; 3.799,37 ; 4.354,38 ; 4.824,71 ; -   ; -   ; -   ; -   ; -   ; -   ;;;
2020;1;ASSUPERO ENSINO SUPERIOR LTDA.;2415;06099229000101;UNIVERSIDADE PAULISTA;322;Universidade;SP;São Paulo;Campus VII - MARQUÊS;2643;São Paulo;SP;São Paulo;35061;3515;Metropolitana de São Paulo;CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;59606; 450,00 ;1180797;RADIOLOGIA;MATUTINO;Tecnológico;4;115;46;23;0;SIM;46;N;S;N;S;N; 22.051,39 ; 2.944,97 ; 2.929,05 ; 3.273,41 ; 3.358,34 ; 3.530,08 ; 6.015,54 ; -   ; -   ; -   ; -   ; -   ; -   ; 17.502,16 ;250%; 2.061,48 ; 2.118,58 ; 2.558,74 ; 2.724,29 ; 3.353,57 ; 4.685,50 ; -   ; -   ; -   ; -   ; -   ; -   ;;;
2020;1;ASSOCIACAO EDUCACIONAL NOVE DE JULHO;222;43374768000138;UNIVERSIDADE NOVE DE JULHO;316;Universidade;SP;São Paulo;MEMORIAL;1801;São Paulo;SP;São Paulo;35061;3515;Metropolitana de São Paulo;CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;59606; 450,00 ;116620;SERVIÇO SOCIAL;MATUTINO;Bacharelado;4;140;56;28;2;SIM;28;N;S;N;S;N; 46.368,00 ; 6.624,00 ; 6.624,00 ; 6.624,00 ; 6.624,00 ; 6.624,00 ; 6.624,00 ; 6.624,00 ; -   ; -   ; -   ; -   ; -   ; 25.862,00 ;120%; 1.910,00 ; 2.310,00 ; 3.054,00 ; 3.288,00 ; 4.764,00 ; 4.764,00 ; 5.772,00 ; -   ; -   ; -   ; -   ; -   ;;;
2020;1;SEPA - SOCIEDADE EDUCACIONAL DA PARAIBA LTDA;15205;12097654000164;Faculdade Pitágoras da Paraíba;15839;Faculdade ;PB;João Pessoa;Campus Sede;1052357;João Pessoa;PB;João Pessoa;25022;2504;Mata Paraibana;CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA MECÂNICA, AERONÁUTICA, NAVAL E CURSOS RELACIONADOS;57343; 450,00 ;1322473;ENGENHARIA MECÂNICA;NOTURNO;Bacharelado;3;100;30;70;1;NAO;0;N;N;N;N;N; 63.228,00 ; 7.479,00 ; 5.992,00 ; 6.309,00 ; 5.683,00 ; 5.683,00 ; 6.251,00 ; 7.431,00 ; 6.757,00 ; 4.886,00 ; 6.757,00 ; -   ; -   ; 44.086,00 ;125%; 4.188,00 ; 3.595,00 ; 4.590,00 ; 4.263,00 ; 4.263,00 ; 4.688,00 ; 5.573,00 ; 4.561,00 ; 3.298,00 ; 5.067,00 ; -   ; -   ;;;
2020;1;SEPA - SOCIEDADE EDUCACIONAL DA PARAIBA LTDA;15205;12097654000164;Faculdade Pitágoras da Paraíba;15839;Faculdade ;PB;João Pessoa;Campus Sede;1052357;João Pessoa;PB;João Pessoa;25022;2504;Mata Paraibana;CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA MECÂNICA, AERONÁUTICA, NAVAL E CURSOS RELACIONADOS;57343; 450,00 ;1322473;ENGENHARIA MECÂNICA;MATUTINO;Bacharelado;3;100;30;70;1;NAO;0;N;N;N;N;N; 61.399,00 ; 6.857,00 ; 5.992,00 ; 5.584,00 ; 5.683,00 ; 5.683,00 ; 6.468,00 ; 6.757,00 ; 5.809,00 ; 5.809,00 ; 6.757,00 ; -   ; -   ; 42.491,00 ;125%; 3.840,00 ; 3.595,00 ; 4.188,00 ; 4.263,00 ; 4.263,00 ; 4.366,00 ; 5.067,00 ; 3.921,00 ; 3.921,00 ; 5.067,00 ; -   ; -   ;;;
2020;1;SECID - SOCIEDADE EDUCACIONAL CIDADE DE SAO PAULO LTDA;290;43395177000147;UNIVERSIDADE CIDADE DE SÃO PAULO;417;Universidade;SP;São Paulo;Universidade Cidade de São Paulo - UNICID - Sede;1002328;São Paulo;SP;São Paulo;35061;3515;Metropolitana de São Paulo;CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;59606; 450,00 ;1308011;SERVIÇO SOCIAL;MATUTINO;Bacharelado;4;100;40;0;0;SIM;8;N;S;S;S;N; 36.063,92 ; 4.712,44 ; 4.303,54 ; 4.712,44 ; 4.303,54 ; 4.712,44 ; 4.303,54 ; 4.712,44 ; 4.303,54 ; -   ; -   ; -   ; -   ; 25.014,63 ;300%; 2.393,92 ; 2.393,63 ; 2.621,06 ; 2.613,11 ; 2.861,39 ; 3.916,22 ; 4.288,32 ; 3.926,98 ; -   ; -   ; -   ; -   ;;;
2020;1;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC;543;03709814000198;CENTRO UNIVERSITÁRIO SENAC;3985;Centro Universitário;SP;São Paulo;Unidade Tiradentes;1057232;São Paulo;SP;São Paulo;35061;3515;Metropolitana de São Paulo;CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;59606; 450,00 ;1178297;RADIOLOGIA;NOTURNO;Tecnológico;4;100;20;0;0;NAO;0;N;N;N;N;N; 19.956,00 ; 3.270,00 ; 3.126,00 ; 3.270,00 ; 3.204,00 ; 3.270,00 ; 3.816,00 ; -   ; -   ; -   ; -   ; -   ; -   ; 19.373,67 ;200%; 3.188,25 ; 3.032,22 ; 3.171,90 ; 3.107,88 ; 3.171,90 ; 3.701,52 ; -   ; -   ; -   ; -   ; -   ; -   ;;;
2020;1;ASSUPERO ENSINO SUPERIOR LTDA.;2415;06099229000101;UNIVERSIDADE PAULISTA;322;Universidade;SP;São Paulo;Campus VII - MARQUÊS;2643;São Paulo;SP;São Paulo;35061;3515;Metropolitana de São Paulo;CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;59606; 450,00 ;1180797;RADIOLOGIA;NOTURNO;Tecnológico;4;115;46;23;0;SIM;46;N;S;N;S;N; 26.384,23 ; 4.356,94 ; 4.343,29 ; 4.421,00 ; 4.421,00 ; 4.421,00 ; 4.421,00 ; -   ; -   ; -   ; -   ; -   ; -   ; 19.948,07 ;250%; 3.049,86 ; 3.165,57 ; 3.433,16 ; 3.433,16 ; 3.433,16 ; 3.433,16 ; -   ; -   ; -   ; -   ; -   ; -   ;;;
2020;1;ASPEC SOCIEDADE PARAIBANA DE EDUCACAO E CULTURA LTDA;2003;05247100000130;FACULDADE INTERNACIONAL DA PARAÍBA;3099;Faculdade ;PB;João Pessoa;Unidade SEDE;659274;João Pessoa;PB;João Pessoa;25022;2504;Mata Paraibana;CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA MECÂNICA, AERONÁUTICA, NAVAL E CURSOS RELACIONADOS;57343; 450,00 ;1300344;ENGENHARIA MECÂNICA;NOTURNO;Bacharelado;3;120;36;36;0;SIM;48;N;S;S;S;N; 69.223,55 ; 6.402,36 ; 6.754,49 ; 6.754,49 ; 6.754,49 ; 6.947,24 ; 6.947,24 ; 7.165,81 ; 7.165,81 ; 7.165,81 ; 7.165,81 ; -   ; -   ; 67.048,45 ;200%; 6.082,24 ; 6.585,63 ; 6.585,63 ; 6.585,63 ; 6.738,82 ; 6.738,82 ; 6.932,92 ; 6.932,92 ; 6.932,92 ; 6.932,92 ; -   ; -   ;;;
2020;1;ASSUPERO ENSINO SUPERIOR LTDA.;2415;06099229000101;UNIVERSIDADE PAULISTA;322;Universidade;SP;São Paulo;SANTANA DE PARNAÍBA I;2637;Santana de Parnaíba;SP;Osasco;35057;3515;Metropolitana de São Paulo;CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;59606; 450,00 ;1258867;SERVIÇO SOCIAL;MATUTINO;Bacharelado;4;115;46;23;0;SIM;46;N;S;N;S;N; 26.841,56 ; 2.936,91 ; 3.414,95 ; 3.414,95 ; 3.414,95 ; 3.414,95 ; 3.414,95 ; 3.414,95 ; 3.414,95 ; -   ; -   ; -   ; -   ; 18.789,13 ;250%; 2.055,84 ; 2.390,47 ; 2.390,47 ; 2.390,47 ; 2.390,47 ; 2.390,47 ; 2.390,47 ; 2.390,47 ; -   ; -   ; -   ; -   ;;;
2020;1;INSTITUICAO EDUCACIONAL PROFESSOR PASQUALE CASCINO;145;43371723000100;CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO;206;Centro Universitário;SP;São Paulo;Sede - Santo Amaro;1043954;São Paulo;SP;São Paulo;35061;3515;Metropolitana de São Paulo;CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;59606; 450,00 ;119234;SERVIÇO SOCIAL;NOTURNO;Bacharelado;4;60;4;4;0;SIM;4;N;S;N;N;N; 44.796,42 ; 4.853,64 ; 4.853,64 ; 4.853,64 ; 6.047,10 ; 6.047,10 ; 6.047,10 ; 6.047,10 ; 6.047,10 ; -   ; -   ; -   ; -   ; 29.489,10 ;200%; 2.514,42 ; 2.635,38 ; 2.781,30 ; 3.706,86 ; 4.009,44 ; 4.371,90 ; 4.734,90 ; 4.734,90 ; -   ; -   ; -   ; -   ;;;
2020;1;SOCIEDADE PAULISTA DE ENSINO E PESQUISA S/S LTDA;16298;04302037000125;Universidade Universus Veritas Guarulhos;481;Universidade;SP;Guarulhos;Guarulhos Centro;103202;Guarulhos;SP;Guarulhos;35059;3515;Metropolitana de São Paulo;CURSOS DA AREA DE SAUDE;SERVIÇO SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS;59606; 450,00 ;90497;SERVIÇO SOCIAL;NOTURNO;Bacharelado;4;200;80;0;0;SIM;5;N;S;N;S;N; 35.261,52 ; 5.037,36 ; 5.037,36 ; 5.037,36 ; 5.037,36 ; 5.037,36 ; 5.037,36 ; 5.037,36 ; -   ; -   ; -   ; -   ; -   ; 10.578,47 ;125%; 1.511,21 ; 1.511,21 ; 1.511,21 ; 1.511,21 ; 1.511,21 ; 1.511,21 ; 1.511,21 ; -   ; -   ; -   ; -   ; -   ;;;
