Ano;Semestre;Nome Mantenedora;Código e-MEC da Mantenedora;CNPJ da mantenedora;Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES;Município da IES;Nome do Local de oferta;Código do Local de Oferta;Município do Local de Oferta;UF do Local de Oferta;Nome da Microrregião;Código da Microrregião;Código da Mesorregião;Nome da Mesorregião;Área do conhecimento;Subárea do conhecimento;Código do Grupo de Preferência; Nota de Corte Grupo Preferência ;Código do Curso;Nome do Curso;Turno;Grau;Conceito;Vagas autorizadas e-mec;Vagas ofertadas FIES;Vagas além da Oferta;Vagas ocupadas; Valor bruto do curso ; 1 Semestre Bruto ; 2 Semestre Bruto ; 3 Semestre Bruto ; 4 Semestre Bruto ; 5 Semestre Bruto ; 6 Semestre Bruto ; 7 Semestre Bruto ; 8 Semestre Bruto ; 9 Semestre Bruto ; 10 Semestre Bruto ; 11 Semestre Bruto ; 12 Semestre Bruto ; Valor do curso para o FIES ; 1 Semestre FIES ; 2 Semestre FIES ; 3 Semestre FIES ; 4 Semestre FIES ; 5 Semestre FIES ; 6 Semestre FIES ; 7 Semestre FIES ; 8 Semestre FIES ; 9 Semestre FIES ; 10 Semestre FIES ; 11 Semestre FIES ; 12 Semestre FIES 
2020;2;ANTARES EDUCACIONAL S.A.;121;34185306000181;UNIVERSIDADE VEIGA DE ALMEIDA;165;Universidade;RJ;Rio de Janeiro;CAMPUS CABO FRIO;1053076;Cabo Frio;RJ;Lagos;33010;3304;Baixadas;DIVERSAS ÁREAS;COMUNICAÇÃO SOCIAL, JORNALISMO, PUBLICIDADE, MARKETING E CURSOS RELACIONADOS;91039; 510,20 ;102170;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA;MATUTINO;Bacharelado;4;120;48;14;1; 94.451,18 ; 9.373,08 ; 9.982,33 ; 10.631,18 ; 11.322,21 ; 12.058,15 ; 12.841,93 ; 13.676,66 ; 14.565,64 ; -   ; -   ; -   ; -   ; 94.451,18 ; 9.373,08 ; 9.982,33 ; 10.631,18 ; 11.322,21 ; 12.058,15 ; 12.841,93 ; 13.676,66 ; 14.565,64 ; -   ; -   ; -   ; -   
2020;2;ANTARES EDUCACIONAL S.A.;121;34185306000181;UNIVERSIDADE VEIGA DE ALMEIDA;165;Universidade;RJ;Rio de Janeiro;CAMPUS BARRA DA TIJUCA;1000122;Rio de Janeiro;RJ;Rio de Janeiro;33018;3306;Metropolitana do Rio de Janeiro;CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA DE PRODUÇÃO, DE MATERIAIS E CURSOS RELACIONADOS;91095; 527,82 ;123629;ENGENHARIA DE PRODUÇÃO;MATUTINO;Bacharelado;3;120;36;10;0; 183.258,85 ; 13.580,34 ; 14.463,06 ; 15.403,16 ; 16.404,37 ; 17.470,65 ; 18.606,24 ; 19.815,65 ; 21.103,67 ; 22.475,40 ; 23.936,31 ; -   ; -   ; 183.258,85 ; 13.580,34 ; 14.463,06 ; 15.403,16 ; 16.404,37 ; 17.470,65 ; 18.606,24 ; 19.815,65 ; 21.103,67 ; 22.475,40 ; 23.936,31 ; -   ; -   
2020;2;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC;2084;03603739000186;FACULDADE SENAC FLORIANÓPOLIS;3295;Faculdade ;SC;Florianópolis;POLO NA SEDE;659439;Florianópolis;SC;Florianópolis;42016;4205;Grande Florianópolis;CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS;92206; 595,38 ;5001211;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;MATUTINO;Tecnológico;5;100;1;0;0; 20.850,00 ; 4.170,00 ; 4.170,00 ; 4.170,00 ; 4.170,00 ; 4.170,00 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 19.807,50 ; 3.961,50 ; 3.961,50 ; 3.961,50 ; 3.961,50 ; 3.961,50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
2020;2;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;14514;38733648000140;UNIVERSIDADE DE CUIABÁ;780;Universidade;MT;Cuiabá;UNIC - Beira Rio (SEDE);658099;Cuiabá;MT;Cuiabá;51017;5104;Centro-Sul Mato-grossense;DIVERSAS ÁREAS;MEDICINA VETERINÁRIA;92650; 582,86 ;16834;MEDICINA VETERINÁRIA;INTEGRAL;Bacharelado;3;20;6;14;0; 212.295,66 ; 16.575,00 ; 16.575,00 ; 17.503,20 ; 17.986,38 ; 21.529,20 ; 18.526,20 ; 25.396,80 ; 25.291,68 ; 23.522,40 ; 29.389,80 ; -   ; -   ; 150.516,33 ; 11.934,00 ; 11.934,00 ; 11.062,46 ; 13.489,79 ; 15.119,96 ; 13.010,95 ; 17.836,17 ; 18.968,76 ; 16.519,78 ; 20.640,46 ; -   ; -   
2020;2;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;14514;38733648000140;UNIVERSIDADE PITÁGORAS UNOPAR;298;Universidade;PR;Londrina;LONDRINA/PR - PIZA;1000701;Londrina;PR;Londrina;41011;4103;Norte Central Paranaense;CURSOS DA AREA DE SAUDE;ENFERMAGEM, FISIOTERAPIA, FARMÁCIA, NUTRIÇÃO E CURSOS RELACIONADOS;91836; 522,28 ;92699;FARMÁCIA;NOTURNO;Bacharelado;5;50;25;25;0; 99.479,36 ; 8.990,64 ; 8.990,64 ; 8.615,18 ; 9.020,34 ; 10.296,00 ; 8.500,80 ; 11.028,60 ; 11.313,84 ; 10.731,60 ; 11.991,72 ; -   ; -   ; 68.348,51 ; 5.754,00 ; 5.754,01 ; 4.840,22 ; 6.562,30 ; 7.230,88 ; 5.970,11 ; 7.745,39 ; 8.230,82 ; 7.536,80 ; 8.723,98 ; -   ; -   
2020;2;SOCIEDADE DE DESENVOLVIMENTO CULTURAL DO AMAZONAS S.A. - SODECAM;656;63692180000130;CENTRO UNIVERSITÁRIO DO NORTE;1422;Centro Universitário;AM;Manaus;UNIDADE DE ENSINO I;658468;Manaus;AM;Manaus;13007;1303;Centro Amazonense;CURSOS DA AREA DE SAUDE;ODONTOLOGIA, QUIROPRAXIA, FÍSICA MÉDICA E NATUROLOGIA;88891; 505,18 ;95047;ODONTOLOGIA;VESPERTINO;Bacharelado;3;70;21;0;1; 104.577,50 ; 10.457,75 ; 10.457,75 ; 10.457,75 ; 10.457,75 ; 10.457,75 ; 10.457,75 ; 10.457,75 ; 10.457,75 ; 10.457,75 ; 10.457,75 ; -   ; -   ; 41.831,00 ; 4.183,10 ; 4.183,10 ; 4.183,10 ; 4.183,10 ; 4.183,10 ; 4.183,10 ; 4.183,10 ; 4.183,10 ; 4.183,10 ; 4.183,10 ; -   ; -   
2020;2;CENTRO INTEGRADO DE ENSINO SUPERIOR DE FLORIANO LTDA - ME;1570;04899971000176;FACULDADE DE ENSINO SUPERIOR DE FLORIANO;2413;Faculdade ;PI;Floriano;ARUDA BUCAR;1077841;Floriano;PI;Floriano;22009;2203;Sudoeste Piauiense;DIVERSAS ÁREAS;ADMINISTRAÇÃO, ADMINISTRAÇÃO PÚBLICA, GESTÃO, LOGÍSTICA, NEGÓCIOS E CURSOS RELACIONADOS;89421; 494,04 ;66907;ADMINISTRAÇÃO;NOTURNO;Bacharelado;3;200;60;100;1; 36.554,88 ; 4.569,36 ; 4.569,36 ; 4.569,36 ; 4.569,36 ; 4.569,36 ; 4.569,36 ; 4.569,36 ; 4.569,36 ; -   ; -   ; -   ; -   ; 36.554,88 ; 4.569,36 ; 4.569,36 ; 4.569,36 ; 4.569,36 ; 4.569,36 ; 4.569,36 ; 4.569,36 ; 4.569,36 ; -   ; -   ; -   ; -   
2020;2;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;14514;38733648000140;FACULDADE PITÁGORAS DO MARANHÃO;1452;Faculdade ;MA;São Luís;Turu;658496;São Luís;MA;Aglomeração Urbana de São Luís;21002;2101;Norte Maranhense;DIVERSAS ÁREAS;CIÊNCIAS SOCIAIS, POLÍTICAS, ECONÔMICAS E CONTÁBEIS, PSICOLOGIA E SECRETARIADO;89236; 575,28 ;41556;CIÊNCIAS CONTÁBEIS;NOTURNO;Bacharelado;3;285;85;200;0; 57.346,68 ; 5.990,64 ; 6.000,00 ; 6.415,20 ; 5.676,12 ; 7.451,40 ; 8.256,60 ; 8.771,40 ; 8.785,32 ; -   ; -   ; -   ; -   ; 38.748,52 ; 3.834,00 ; 3.840,00 ; 3.153,87 ; 4.129,38 ; 5.233,12 ; 6.006,68 ; 6.160,15 ; 6.391,32 ; -   ; -   ; -   ; -   
2020;2;ESCOLA SUPERIOR DA AMAZONIA S/C LTDA - ESAMAZ;3610;05118130000147;ESCOLA SUPERIOR DA AMAZÔNIA;2745;Faculdade ;PA;Belém;UNIDADE MUNICIPALIDADE;1040188;Belém;PA;Belém;15007;1503;Metropolitana de Belém;DIVERSAS ÁREAS;CIÊNCIAS SOCIAIS, POLÍTICAS, ECONÔMICAS E CONTÁBEIS, PSICOLOGIA E SECRETARIADO;89046; 591,34 ;1049833;PSICOLOGIA;VESPERTINO;Bacharelado;3;50;15;15;0; 123.369,00 ; 12.336,90 ; 12.336,90 ; 12.336,90 ; 12.336,90 ; 12.336,90 ; 12.336,90 ; 12.336,90 ; 12.336,90 ; 12.336,90 ; 12.336,90 ; -   ; -   ; 117.200,40 ; 11.720,04 ; 11.720,04 ; 11.720,04 ; 11.720,04 ; 11.720,04 ; 11.720,04 ; 11.720,04 ; 11.720,04 ; 11.720,04 ; 11.720,04 ; -   ; -   
2020;2;UNIESP S.A;16134;19347410000131;Faculdade de São Caetano do Sul;1972;Faculdade ;SP;São Caetano do Sul;Unidade SEDE;697660;São Caetano do Sul;SP;São Paulo;35061;3515;Metropolitana de São Paulo;CURSOS DA ÁREA DE LICENCIATURA, PEDAGOGIA E NORMAL SUPERIOR;LETRAS - IDIOMAS, FÍSICA (LIC), QUÍMICA (LIC) E CURSOS RELACIONADOS;91720; 463,68 ;59763;LETRAS - PORTUGUÊS E INGLÊS;NOTURNO;Licenciatura;3;50;13;1;0; 64.270,00 ; 3.863,00 ; 3.863,00 ; 9.424,00 ; 9.424,00 ; 9.424,00 ; 9.424,00 ; 9.424,00 ; 9.424,00 ; -   ; -   ; -   ; -   ; 61.050,00 ; 3.669,00 ; 3.669,00 ; 8.952,00 ; 8.952,00 ; 8.952,00 ; 8.952,00 ; 8.952,00 ; 8.952,00 ; -   ; -   ; -   ; -   
2020;2;INSTITUICAO BAIANA DE ENSINO SUPERIOR LTDA;2274;05817107000140;Faculdade Dom Pedro II de Sergipe;3427;Faculdade ;SE;Lagarto;Unidade Acadêmica;659484;Lagarto;SE;Agreste de Lagarto;28006;2802;Agreste Sergipano;DIVERSAS ÁREAS;CIÊNCIAS SOCIAIS, POLÍTICAS, ECONÔMICAS E CONTÁBEIS, PSICOLOGIA E SECRETARIADO;90079; 544,12 ;94201;CIÊNCIAS CONTÁBEIS;NOTURNO;Bacharelado;4;100;40;60;0; 25.008,00 ; 3.126,00 ; 3.126,00 ; 3.126,00 ; 3.126,00 ; 3.126,00 ; 3.126,00 ; 3.126,00 ; 3.126,00 ; -   ; -   ; -   ; -   ; 24.382,80 ; 3.047,85 ; 3.047,85 ; 3.047,85 ; 3.047,85 ; 3.047,85 ; 3.047,85 ; 3.047,85 ; 3.047,85 ; -   ; -   ; -   ; -   
