Ano;Semestre;Nome Mantenedora;Código e-MEC da Mantenedora;CNPJ da mantenedora;Nome da IES;Código e-MEC da IES;Organização Acadêmica da IES;UF da IES;Município da IES;Nome do Local de oferta;Código do Local de Oferta;Município do Local de Oferta;UF do Local de Oferta;Nome da Microregião;Código da Microregião;Código da Mesorregião;Nome da Mesorregião;Área do conhecimento;Subárea do conhecimento;Cód. Do Grupo de Preferência; Nota de Corte GP ;Código do Curso;Nome do Curso;Turno;Grau;Conceito;Vagas autorizadas e-mec;Vagas ofertadas FIES;Vagas além da Oferta;Vagas ocupadas; Valor bruto do curso ; 1 Semestre Bruto ; 2 Semestre Bruto ; 3 Semestre Bruto ; 4 Semestre Bruto ; 5 Semestre Bruto ; 6 Semestre Bruto ; 7 Semestre Bruto ; 8 Semestre Bruto ; 9 Semestre Bruto ; 10 Semestre Bruto ; 11 Semestre Bruto ; 12 Semestre Bruto ; Valor do curso para o Fies ; 1 Semestre Fies ; 2 Semestre Fies ; 3 Semestre Fies ; 4 Semestre Fies ; 5 Semestre Fies ; 6 Semestre Fies ; 7 Semestre Fies ; 8 Semestre Fies ; 9 Semestre Fies ; 10 Semestre Fies ; 11 Semestre Fies ; 12 Semestre Fies 
2021;2;SOCIEDADE EDUCACIONAL CARVALHO GOMES LTDA;2425;06083327000150;FACULDADE UNINASSAU NATAL;3853;Faculdade ;RN;Natal;UNIDADE SEDE;659647;Natal;RN;Natal;24018;2404;Leste Potiguar;CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS, POLÍTICAS, ECONÔMICAS E CONTÁBEIS, PSICOLOGIA E SECRETARIADO;123167; 499,34 ;1107632;PSICOLOGIA;NOTURNO;Bacharelado;3;60;17;0;4; 68.853,50 ; 6.885,35 ; 6.885,35 ; 6.885,35 ; 6.885,35 ; 6.885,35 ; 6.885,35 ; 6.885,35 ; 6.885,35 ; 6.885,35 ; 6.885,35 ; -   ; -   ; 27.541,40 ; 2.754,14 ; 2.754,14 ; 2.754,14 ; 2.754,14 ; 2.754,14 ; 2.754,14 ; 2.754,14 ; 2.754,14 ; 2.754,14 ; 2.754,14 ; -   ; -   
2021;2;SOCIEDADE EDUCACIONAL CARVALHO GOMES LTDA;2425;06083327000150;FACULDADE UNINASSAU NATAL;3853;Faculdade ;RN;Natal;UNIDADE SEDE;659647;Natal;RN;Natal;24018;2404;Leste Potiguar;CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS, POLÍTICAS, ECONÔMICAS E CONTÁBEIS, PSICOLOGIA E SECRETARIADO;123168; 570,58 ;86222;CIÊNCIAS CONTÁBEIS;MATUTINO;Bacharelado;4;50;19;0;0; 27.992,96 ; 3.499,12 ; 3.499,12 ; 3.499,12 ; 3.499,12 ; 3.499,12 ; 3.499,12 ; 3.499,12 ; 3.499,12 ; -   ; -   ; -   ; -   ; 11.197,20 ; 1.399,65 ; 1.399,65 ; 1.399,65 ; 1.399,65 ; 1.399,65 ; 1.399,65 ; 1.399,65 ; 1.399,65 ; -   ; -   ; -   ; -   
2021;2;FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL;13;88648761000103;UNIVERSIDADE DE CAXIAS DO SUL;13;Universidade;RS;Caxias do Sul;CAMPUS UNIVERSITÁRIO VALE DO CAÍ;616;São Sebastião do Caí;RS;Montenegro;43023;4305;Metropolitana de Porto Alegre;CURSOS NAO PRIORITARIOS;CIÊNCIAS SOCIAIS, POLÍTICAS, ECONÔMICAS E CONTÁBEIS, PSICOLOGIA E SECRETARIADO;126277; 587,88 ;106914;CIÊNCIAS CONTÁBEIS;NOTURNO;Bacharelado;4;40;10;5;0; 58.192,80 ; 7.274,10 ; 7.274,10 ; 7.274,10 ; 7.274,10 ; 7.274,10 ; 7.274,10 ; 7.274,10 ; 7.274,10 ; -   ; -   ; -   ; -   ; 55.283,12 ; 6.910,39 ; 6.910,39 ; 6.910,39 ; 6.910,39 ; 6.910,39 ; 6.910,39 ; 6.910,39 ; 6.910,39 ; -   ; -   ; -   ; -   
2021;2;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;14514;38733648000140;UNIVERSIDADE DE CUIABÁ;780;Universidade;MT;Cuiabá;UNIC - Beira Rio I (SEDE);658099;Cuiabá;MT;Cuiabá;51017;5104;Centro-Sul Mato-grossense;CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL, ARQUITETURA E CURSOS RELACIONADOS;126515; 499,56 ;18471;ARQUITETURA E URBANISMO;NOTURNO;Bacharelado;3;203;59;142;0; 125.956,38 ; 11.775,00 ; 11.775,00 ; 13.182,30 ; 11.760,00 ; 10.926,48 ; 10.914,60 ; 12.475,80 ; 12.040,38 ; 15.883,08 ; 15.223,74 ; -   ; -   ; 80.017,92 ; 6.594,00 ; 6.594,00 ; 7.382,11 ; 6.405,89 ; 6.138,77 ; 7.962,48 ; 8.380,94 ; 8.783,78 ; 10.669,86 ; 11.106,09 ; -   ; -   
2021;2;FUNDACAO PERCIVAL FARQUHAR;354;20611810000191;UNIVERSIDADE VALE DO RIO DOCE;513;Universidade;MG;Governador Valadares;CAMPUS ANTONIO RODRIGUES COELHO;33661;Governador Valadares;MG;Governador Valadares;31037;3108;Vale do Rio Doce;CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO;ENGENHARIA CIVIL E AMBIENTAL, ARQUITETURA E CURSOS RELACIONADOS;124245; 493,20 ;10341;ENGENHARIA CIVIL;NOTURNO;Bacharelado;4;40;16;0;0; 55.200,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; -   ; -   ; 55.200,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; 5.520,00 ; -   ; -   
2021;2;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;14514;38733648000140;UNIVERSIDADE PITÁGORAS UNOPAR;298;Universidade;PR;Londrina;LONDRINA/PR - PIZA;1000701;Londrina;PR;Londrina;41011;4103;Norte Central Paranaense;CURSOS NAO PRIORITARIOS;AGRONOMIA, ZOOTECNIA, ENGENHARIA FLORESTAL E CURSOS RELACIONADOS;125601; 500,10 ;1144887;AGRONOMIA;NOTURNO;Bacharelado;4;100;40;60;5; 129.572,94 ; 11.709,36 ; 10.865,64 ; 12.277,74 ; 11.743,80 ; 11.721,90 ; 12.772,98 ; 14.661,30 ; 14.172,60 ; 15.147,00 ; 14.500,62 ; -   ; -   ; 85.629,87 ; 7.494,00 ; 6.954,00 ; 7.652,45 ; 7.311,22 ; 6.585,66 ; 9.318,20 ; 9.849,11 ; 10.028,88 ; 10.175,36 ; 10.260,99 ; -   ; -   
2021;2;BACABAL MEARIM SISTEMAS DE ENSINO LTDA.;2363;05438997000180;Faculdade Pitágoras Bacabal Mearim;3741;Faculdade ;MA;Bacabal;Unidade SEDE;659598;Bacabal;MA;Médio Mearim;21010;2103;Centro Maranhense;CURSOS DA AREA DE SAUDE;ENFERMAGEM, FISIOTERAPIA, FARMÁCIA, NUTRIÇÃO E CURSOS RELACIONADOS;122784; 450,70 ;104180;ENFERMAGEM;VESPERTINO;Bacharelado;4;50;20;30;6; 78.853,86 ; 7.021,86 ; 7.021,86 ; 7.965,96 ; 7.681,38 ; 8.232,18 ; 8.230,68 ; 8.119,62 ; 8.119,62 ; 8.341,08 ; 8.119,62 ; -   ; -   ; 50.656,03 ; 4.494,00 ; 4.494,00 ; 4.965,02 ; 4.782,10 ; 4.625,06 ; 5.824,22 ; 5.331,56 ; 5.331,56 ; 5.476,95 ; 5.331,56 ; -   ; -   
2021;2;SOCIEDADE DE EDUCACAO TIRADENTES S.A;274;13013263000187;CENTRO UNIVERSITÁRIO TIRADENTES;4530;Centro Universitário;AL;Maceió;CAMPUS  - MACEIÓ - CRUZ DAS ALMAS;659862;Maceió;AL;Maceió;27011;2703;Leste Alagoano;CURSOS DA AREA DE SAUDE;ENFERMAGEM, FISIOTERAPIA, FARMÁCIA, NUTRIÇÃO E CURSOS RELACIONADOS;123506; 589,04 ;101135;ENFERMAGEM;MATUTINO;Bacharelado;4;150;20;0;6; 75.199,80 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; -   ; -   ; 75.199,80 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; 7.519,98 ; -   ; -   
2021;2;FUNDACAO UNIVERSITARIA DO DESENVOLVIMENTO DO OESTE;2012;82804642000108;UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ;3151;Universidade;SC;Chapecó;Campus - CHAPECÓ;1121008;Chapecó;SC;Chapecó;42002;4201;Oeste Catarinense;CURSOS DA AREA DE SAUDE;ENFERMAGEM, FISIOTERAPIA, FARMÁCIA, NUTRIÇÃO E CURSOS RELACIONADOS;125853; 470,06 ;21962;ENFERMAGEM;NOTURNO;Bacharelado;5;130;3;0;1; 66.300,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; -   ; -   ; 66.300,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; 6.630,00 ; -   ; -   
2021;2;PITAGORAS - SISTEMA DE EDUCACAO SUPERIOR SOCIEDADE LTDA;1204;03239470000109;FACULDADE PITÁGORAS DE IPATINGA;2271;Faculdade ;MG;Ipatinga;Unidade SEDE;137382;Ipatinga;MG;Ipatinga;31039;3108;Vale do Rio Doce;CURSOS DA AREA DE SAUDE;ODONTOLOGIA, QUIROPRAXIA, FÍSICA MÉDICA E NATUROLOGIA;124221; 551,06 ;1299613;ODONTOLOGIA;NOTURNO;Bacharelado;4;100;37;57;4; 215.078,34 ; 14.991,66 ; 17.491,68 ; 20.111,94 ; 19.237,32 ; 20.732,28 ; 22.365,96 ; 21.293,82 ; 26.651,22 ; 27.600,00 ; 24.602,46 ; -   ; -   ; 149.537,82 ; 10.794,00 ; 12.594,00 ; 13.851,50 ; 13.473,84 ; 12.761,24 ; 15.826,73 ; 14.304,65 ; 19.442,75 ; 18.540,99 ; 17.948,12 ; -   ; -   
